Номер позиции	Условное обозначение изделия	Обозначение документа на поставку	Отличительный знак	Предприятие изготовитель/калькодерж.	Тип корпуса	Напряжение питания, В	Ток потребления, не более, мА	Рабочая температура, °С	Технология	Описание
1	ОСМ 1564АГ3Т ЭП	АЕЯР.431200.424-19ТУ; П0.070.052		20 / 21	402.16 - 33.03	2 ÷ 6	3.2, 10(Iocc)	-60 ÷ +125	КМОП	СДВОЕННЫЙ ОДНОВИБРАТОР С ПОВТОРНЫМ ЗАПУСКОМ
2	ОСМ 1564АП3Т2 ЭП	АЕЯР.431200.424-19ТУ; П0.070.052		20 / 21	4157.20 - А	2 ÷ 6	0.16, 10(Iocc)	-60 ÷ +125	КМОП	ДВА 4-КАНАЛЬНЫХ ФОРМИРОВАТЕЛЯ С ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ С ИНВЕРСИЕЙ СИГНАЛА С ИНВЕРСНЫМ УПРАВЛЕНИЕМ
3	ОСМ 1564АП3Т ЭП	АЕЯР.431200.424-19ТУ; П0.070.052		20 / 21	4118.24 - 2.01	2 ÷ 6	0.16, 10(Iocc)	-60 ÷ +125	КМОП	ДВА 4-КАНАЛЬНЫХ ФОРМИРОВАТЕЛЯ С ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ С ИНВЕРСИЕЙ СИГНАЛА С ИНВЕРСНЫМ УПРАВЛЕНИЕМ
4	ОСМ 1564АП4	бК0.347.479-17ТУ;  П0.070.0522		23 / 23	4118.24 - 2	2 ÷ 6	0.08	-60 ÷ +125	КМОП	ДВА 4-КАНАЛЬНЫХ ФОРМИРОВАТЕЛЯ С ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ И ПРЯМЫМ И ИНВЕРСНЫМ УПРАВЛЕНИЕМ
5	ОСМ 1564АП4Т2 ЭП	АЕЯР.431200.424-17ТУ; П0.070.052		20 / 21	4157.20 - А	2 ÷ 6	0.08, 20(Iocc)	-60 ÷ +125	КМОП	ДВА 4-КАНАЛЬНЫХ ФОРМИРОВАТЕЛЯ С ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ С ПРЯМЫМ И ИНВЕРСНЫМ УПРАВЛЕНИЕМ
6	ОСМ 1564АП4Т ЭП	АЕЯР.431200.424-17ТУ; П0.070.052		20 / 21	4118.24 - 1.01, 2.01	2 ÷ 6	0.08, 20(Iocc)	-60 ÷ +125	КМОП	ДВА 4-КАНАЛЬНЫХ ФОРМИРОВАТЕЛЯ С ТРЕМЯ СОСТОЯНИЯМИ НА ВЫХОДЕ С ПРЯМЫМ И ИНВЕРСНЫМ УПРАВЛЕНИЕМ
7	ОСМ 1564ИВ3Т ЭП	АЕЯР.431200.424-08ТУ; П0.070.052		20 / 21	402.16 - 33.03	2 ÷ 6	0.08, 18(Iocc)	-60 ÷ +125	КМОП	ШИФРАТОР ПРИОРИТЕТОВ 10-4
8	ОСМ 1564ИД23	бК0.347.479-22ТУ;  П0.070.052		20 / 21	402.16 - 33	2 ÷ 6	0.08	-60 ÷ +125	КМОП	ДЕШИФРАТОР ДВОИЧНО-ДЕСЯТИЧНЫЙ ДЛЯ УПРАВЛЕНИЯ СЕМИСЕГМЕНТНЫМ ИНДИКАТОРОМ
9	ОСМ 1564ИД3	бК0.347.479-02ТУ;  П0.070.052		23 / 23	4118.24 - 2	2 ÷ 6	0.16	-60 ÷ +125	КМОП	ДЕШИФРАТОР 4Х16
10	ОСМ 1564ИД3Т ЭП	АЕЯР.431200.424-02ТУ; П0.070.052		20 / 21	4118.24 - 2.01	2 ÷ 6	0.16, 12(Iосс)	-60 ÷ +125	КМОП	ДЕШИФРАТОР 4Х16

